subject,compute_time,total_time
face, 3.703125, 17.22831659999997
education, 2.421875, 8.591618299999936
policy, 2.96875, 9.937485000000038
research, 1.421875, 8.806887500000016
sort, 1.71875, 11.888258500000006
office, 3.03125, 24.387635499999988
body, 0.703125, 13.681081399999925
person, 1.109375, 8.822503500000039
health, 2.109375, 7.907803400000034
mother, 1.296875, 7.7225016999999525
question, 1.265625, 12.606421800000021
period, 1.78125, 8.320633499999985
name, 0.984375, 12.283159100000034
book, 1.359375, 8.896726599999965
level, 1.546875, 8.539465399999926
child, 4.53125, 13.443934500000069
control, 4.234375, 13.57516510000005
society, 3.234375, 14.725954600000023
minister, 3.234375, 12.797436100000027
view, 2.96875, 15.363288500000067
door, 3.515625, 10.259600099999943
line, 2.984375, 14.642239800000084
community, 1.78125, 13.438101599999982
south, 2.59375, 8.010722200000032
city, 1.625, 9.020021099999894
god, 2.0, 9.073851999999988
father, 1.25, 15.906683900000075
centre, 4.4375, 18.24654869999995
effect, 2.703125, 11.116935499999954
staff, 1.828125, 9.57726230000003
position, 2.40625, 14.526223600000094
kind, 2.75, 12.249556600000005
job, 1.953125, 14.00136950000001
woman, 3.109375, 13.716682799999944
action, 2.09375, 7.601587299999892
management, 6.40625, 16.700514800000064
act, 3.53125, 11.293506799999932
process, 4.171875, 16.15127869999992
north, 1.953125, 18.12439840000002
age, 3.84375, 11.580615599999874
evidence, 1.375, 13.725924300000088
idea, 2.09375, 12.349093799999991
west, 3.796875, 11.101995400000078
support, 1.09375, 9.246207400000003
moment, 2.421875, 10.649932299999818
sense, 4.296875, 13.861038199999939
report, 4.484375, 14.232399499999929
mind, 1.15625, 8.698180600000114
church, 3.984375, 9.72064649999993
morning, 2.0, 9.893060500000047
death, 3.53125, 13.23484550000012
change, 3.875, 16.84482879999996
industry, 1.1875, 7.130245099999911
land, 3.671875, 13.2959022
care, 4.59375, 12.204428199999938
century, 2.640625, 8.386027999999897
table, 3.828125, 10.0786003
back, 1.875, 10.305662700000001
trade, 2.453125, 7.4152898
history, 1.671875, 12.422836799999999
study, 2.921875, 10.9506644
street, 1.734375, 8.968179999999997
committee, 1.046875, 8.615195800000002
rate, 2.5, 9.756470499999992
word, 1.984375, 8.778048100000007
food, 3.859375, 12.781839000000005
language, 2.359375, 8.82202869999999
experience, 1.921875, 7.221625300000001
result, 3.75, 18.1534373
team, 3.34375, 13.1770306
other, 1.234375, 12.5099225
sir, 3.828125, 19.8749812
section, 1.265625, 12.723002399999999
programme, 2.578125, 9.502970099999999
air, 1.40625, 13.913836599999996
authority, 2.671875, 11.362745499999988
role, 4.09375, 13.339207200000004
reason, 1.4375, 9.739833199999993
price, 2.78125, 15.994136400000002
town, 2.890625, 17.882737300000002
class, 3.03125, 11.596418700000015
nature, 1.859375, 13.157941399999999
subject, 1.765625, 11.9651705
department, 2.625, 13.5973319
union, 1.28125, 7.139686100000006
bank, 2.703125, 8.952539000000002
member, 2.3125, 19.94305159999999
value, 2.859375, 8.183429599999982
need, 1.515625, 8.415378199999992
east, 1.484375, 7.513515199999972
practice, 5.9375, 16.524628800000016
type, 3.640625, 13.073703300000034
paper, 4.96875, 11.124729100000025
date, 2.03125, 9.652783100000022
decision, 1.953125, 10.780566800000031
figure, 1.5, 13.319998499999997
right, 2.875, 14.008005999999966
wife, 3.4375, 12.528066299999978
president, 2.609375, 11.83583120000003
university, 3.3125, 12.373992999999984
friend, 1.171875, 9.704458299999999
club, 2.5, 9.43222800000001
quality, 1.96875, 11.000845400000003
voice, 3.359375, 16.032507100000032
lord, 3.15625, 14.943836599999997
stage, 2.0, 12.684526399999982
king, 1.484375, 12.514084099999991
us, 2.859375, 18.15117189999995
situation, 3.984375, 15.909218399999986
light, 0.8125, 8.371884099999932
tax, 2.140625, 8.289314600000012
production, 4.890625, 11.599422499999946
march, 5.21875, 15.531852100000037
secretary, 1.125, 13.073727599999984
art, 1.375, 10.862860299999966
board, 3.796875, 12.877740599999925
may, 1.90625, 16.087851499999942
hospital, 5.296875, 17.659087
month, 1.15625, 9.562754100000006
music, 4.046875, 12.0401564
cost, 2.421875, 10.489394100000027
field, 1.390625, 10.862102900000082
award, 1.265625, 7.0284180999999535
issue, 2.421875, 12.30948049999995
bed, 4.046875, 17.444843900000023
project, 2.25, 11.63446650000003
chapter, 1.328125, 9.960458899999935
girl, 3.046875, 13.087815699999965
game, 2.6875, 13.936835900000005
amount, 1.84375, 16.980844000000047
basis, 2.5, 8.32210950000001
knowledge, 1.890625, 8.289713300000017
approach, 3.859375, 10.943865100000039
series, 1.859375, 10.576952399999982
love, 3.875, 16.317612499999996
top, 2.4375, 24.3697588
news, 1.84375, 10.976134000000002
front, 2.15625, 18.692987399999993
future, 7.40625, 21.177361399999995
manager, 2.546875, 12.762052799999992
account, 1.34375, 7.711958500000037
computer, 1.453125, 15.623663099999998
security, 4.640625, 16.437852899999996
rest, 1.09375, 8.698019200000005
labour, 1.671875, 13.054448999999998
structure, 3.40625, 10.394289499999992
hair, 2.984375, 11.187040199999998
bill, 3.9375, 15.517546299999992
heart, 1.5625, 10.48809700000001
force, 6.796875, 16.99019589999999
attention, 0.96875, 9.611586700000004
movement, 2.96875, 14.977714899999995
success, 1.25, 12.557674300000002
letter, 2.75, 10.230662300000006
agreement, 3.640625, 11.247684499999991
capital, 1.0, 11.023431000000016
analysis, 1.234375, 8.484183099999996
population, 1.296875, 11.575569300000012
environment, 3.15625, 10.002344899999997
performance, 0.703125, 7.770887000000016
model, 1.0, 8.162108399999994
material, 1.9375, 11.402031499999993
theory, 1.125, 11.37262069999997
growth, 0.9375, 7.954789500000004
fire, 1.578125, 13.296767200000033
chance, 1.40625, 8.307515800000033
boy, 3.8125, 21.506581299999993
relationship, 5.140625, 13.88188180000003
son, 1.59375, 16.250663599999996
sea, 1.8125, 12.139985000000024
record, 2.78125, 16.268153499999983
size, 3.15625, 35.83750220000002
property, 3.484375, 23.880071600000008
space, 2.203125, 9.9558447
term, 3.546875, 13.16923109999999
director, 2.234375, 13.65402290000003
plan, 3.46875, 12.704557199999954
behaviour, 3.3125, 12.691477200000008
treatment, 2.078125, 12.513137800000038
energy, 5.21875, 18.465938100000017
st, 4.125, 13.493292900000029
peter, 3.46875, 13.055987500000015
income, 2.453125, 7.27303500000005
cup, 4.359375, 12.256780000000049
scheme, 1.328125, 6.791591700000026
design, 1.8125, 13.233249800000067
response, 1.6875, 11.388377699999978
association, 1.78125, 9.717819599999984
choice, 3.5, 17.357611399999996
pressure, 4.609375, 13.312158000000068
hall, 1.53125, 17.088274899999988
couple, 3.609375, 19.972524999999905
technology, 2.84375, 13.993347500000027
defence, 2.828125, 10.177893899999958
list, 2.46875, 14.048929899999962
chairman, 1.640625, 19.151818400000025
loss, 1.40625, 10.160470400000008
activity, 0.796875, 13.306647999999996
contract, 3.53125, 12.153427299999976
county, 1.4375, 8.450883100000055
wall, 3.546875, 12.198688699999934
paul, 1.765625, 7.615127099999995
difference, 2.078125, 14.926070699999968
army, 10.125, 58.50061759999994
hotel, 2.4375, 9.550906199999986
sun, 1.828125, 10.710872600000016
product, 2.796875, 11.181424800000059
summer, 2.0, 14.781897699999945
set, 2.875, 10.26147709999998
village, 3.0, 7.961738200000013
colour, 1.09375, 9.379146200000037
floor, 3.359375, 17.98271049999994
season, 2.484375, 9.542956499999946
unit, 2.25, 9.249361199999953
park, 3.875, 14.419800299999906
hour, 1.84375, 12.028425900000002
investment, 3.1875, 38.25134209999999
test, 1.078125, 6.8518325
garden, 3.40625, 12.008490600000187
husband, 2.296875, 19.11878280000019
employment, 2.328125, 13.594007600000168
style, 1.21875, 9.702277100000174
science, 1.515625, 14.987017400000013
look, 2.234375, 15.60935440000003
deal, 2.453125, 10.84941670000012
charge, 4.90625, 22.7232884
help, 1.53125, 10.873036400000046
economy, 2.296875, 11.663590899999917
new, 4.09375, 11.121209500000077
page, 7.53125, 20.555212400000073
risk, 2.84375, 10.707720799999834
advice, 3.5, 13.62867529999994
event, 1.953125, 12.720980800000007
picture, 2.8125, 11.142507100000103
commission, 0.796875, 7.348324600000069
fish, 4.578125, 19.357770400000163
college, 1.546875, 15.98429770000007
oil, 3.015625, 14.459594200000083
doctor, 1.90625, 19.956809399999884
opportunity, 5.328125, 22.43612250000001
film, 2.546875, 12.381571300000132
conference, 1.28125, 13.185399299999972
operation, 4.5625, 38.87160990000007
application, 2.046875, 15.152643699999999
press, 1.75, 15.338724299999967
extent, 2.0, 9.805694399999993
addition, 1.15625, 10.204730599999948
station, 2.15625, 8.329554300000154
window, 2.265625, 9.146014100000002
shop, 1.15625, 8.19597130000011
access, 1.390625, 11.446233200000052
region, 2.296875, 9.4227206999999
doubt, 3.390625, 11.902253900000005
majority, 4.59375, 15.05386129999988
degree, 1.1875, 10.038982800000213
television, 3.4375, 12.40116480000006
blood, 1.140625, 8.29780269999992
statement, 2.921875, 8.892147199999954
sound, 1.984375, 16.229660800000147
election, 0.859375, 7.262710399999833
parliament, 5.796875, 18.89011359999995
site, 4.734375, 13.490112500000123
mark, 3.296875, 10.160037699999975
importance, 1.078125, 8.372448600000098
title, 1.1875, 8.99974270000007
species, 1.96875, 12.008607400000074
increase, 2.640625, 8.864490400000022
return, 1.5, 11.182649899999888
concern, 1.46875, 7.9494291999999405
public, 3.671875, 11.717251100000112
competition, 2.75, 26.275797300000022
software, 1.4375, 6.865711899999951
